fecha_operacion,intervalo,hora,fecha_hora,codigo,serie,comparacion,mw
2026-06-18,6,01:30,2026-06-18 01:30:00,HIDRO,Hidroeléctrica,Actual,179.6
2026-06-18,7,01:45,2026-06-18 01:45:00,HIDRO,Hidroeléctrica,Actual,179.13
2026-06-18,8,02:00,2026-06-18 02:00:00,HIDRO,Hidroeléctrica,Actual,188.82
2026-06-18,9,02:15,2026-06-18 02:15:00,HIDRO,Hidroeléctrica,Actual,190.94
2026-06-18,10,02:30,2026-06-18 02:30:00,HIDRO,Hidroeléctrica,Actual,186.14
2026-06-18,11,02:45,2026-06-18 02:45:00,HIDRO,Hidroeléctrica,Actual,184.48
2026-06-18,12,03:00,2026-06-18 03:00:00,HIDRO,Hidroeléctrica,Actual,192.22
2026-06-18,13,03:15,2026-06-18 03:15:00,HIDRO,Hidroeléctrica,Actual,188.99
2026-06-18,14,03:30,2026-06-18 03:30:00,HIDRO,Hidroeléctrica,Actual,185.93
2026-06-18,15,03:45,2026-06-18 03:45:00,HIDRO,Hidroeléctrica,Actual,184.43
2026-06-18,16,04:00,2026-06-18 04:00:00,HIDRO,Hidroeléctrica,Actual,181.37
2026-06-18,17,04:15,2026-06-18 04:15:00,HIDRO,Hidroeléctrica,Actual,184.29
2026-06-18,18,04:30,2026-06-18 04:30:00,HIDRO,Hidroeléctrica,Actual,188.78
2026-06-18,19,04:45,2026-06-18 04:45:00,HIDRO,Hidroeléctrica,Actual,195.15
2026-06-18,20,05:00,2026-06-18 05:00:00,HIDRO,Hidroeléctrica,Actual,197.91
2026-06-18,21,05:15,2026-06-18 05:15:00,HIDRO,Hidroeléctrica,Actual,198.5
2026-06-18,22,05:30,2026-06-18 05:30:00,HIDRO,Hidroeléctrica,Actual,205.78
2026-06-18,23,05:45,2026-06-18 05:45:00,HIDRO,Hidroeléctrica,Actual,206.41
2026-06-18,24,06:00,2026-06-18 06:00:00,HIDRO,Hidroeléctrica,Actual,204.36
2026-06-18,25,06:15,2026-06-18 06:15:00,HIDRO,Hidroeléctrica,Actual,208.8
2026-06-18,26,06:30,2026-06-18 06:30:00,HIDRO,Hidroeléctrica,Actual,222.35
